time,zoneId,eventType,severity,faultType,faultDelayTime
14:03:15.000,3,FIRE_DETECTED,High,NONE,0
14:03:18.000,7,DRONE_REQUEST,Moderate,NONE,0
14:03:21.000,2,FIRE_DETECTED,Low,NONE,0
14:03:24.000,4,DRONE_REQUEST,Low,NONE,0
14:03:27.000,5,FIRE_DETECTED,Moderate,NONE,0
14:03:30.000,1,DRONE_REQUEST,High,NONE,0
14:03:33.000,6,FIRE_DETECTED,Low,NONE,0
14:04:15.000,3,FIRE_DETECTED,Moderate,NONE,0
14:04:18.000,7,FIRE_DETECTED,Low,NONE,0
14:04:21.000,2,DRONE_REQUEST,High,NONE,0
14:04:24.000,5,FIRE_DETECTED,High,STUCK_MID_FLIGHT,500
14:04:27.000,1,FIRE_DETECTED,Moderate,NONE,0
14:04:30.000,4,FIRE_DETECTED,Low,NONE,0
14:04:33.000,6,DRONE_REQUEST,Moderate,NONE,0
14:05:15.000,3,DRONE_REQUEST,Low,NONE,0
14:05:18.000,7,FIRE_DETECTED,High,NONE,0
14:05:21.000,2,FIRE_DETECTED,Moderate,NOZZLE_JAM,0
14:05:24.000,4,FIRE_DETECTED,High,NONE,0
14:05:27.000,5,DRONE_REQUEST,Low,NONE,0
14:05:30.000,1,FIRE_DETECTED,Low,NONE,0
14:05:33.000,6,FIRE_DETECTED,High,NONE,0
14:05:36.000,7,DRONE_REQUEST,Moderate,NONE,0
14:05:39.000,4,FIRE_DETECTED,Moderate,NONE,0
14:05:42.000,1,FIRE_DETECTED,High,NONE,0
14:05:45.000,5,FIRE_DETECTED,Low,NONE,0
